angulo,timestamp,posicao_correlacao_maxima
45,2026-07-09T10:07:55.142,1
45,2026-07-09T10:07:55.432,2
45,2026-07-09T10:07:55.602,0
45,2026-07-09T10:07:56.154,8
45,2026-07-09T10:07:56.555,2
45,2026-07-09T10:07:57.108,1
45,2026-07-09T10:07:57.568,2
45,2026-07-09T10:07:58.183,1
45,2026-07-09T10:07:58.640,9
45,2026-07-09T10:07:59.086,2
45,2026-07-09T10:07:59.648,8
45,2026-07-09T10:08:00.155,2
45,2026-07-09T10:08:00.590,2
45,2026-07-09T10:08:01.101,13
45,2026-07-09T10:08:01.606,2
45,2026-07-09T10:08:02.066,8
45,2026-07-09T10:08:02.656,2
45,2026-07-09T10:08:03.092,0
45,2026-07-09T10:08:03.587,0
45,2026-07-09T10:08:04.223,3
45,2026-07-09T10:08:04.737,184
45,2026-07-09T10:08:05.116,2
45,2026-07-09T10:08:05.620,6
45,2026-07-09T10:08:06.158,1
45,2026-07-09T10:08:06.550,0
45,2026-07-09T10:08:07.105,0
45,2026-07-09T10:08:07.555,0
45,2026-07-09T10:08:08.161,1
45,2026-07-09T10:08:08.561,252
45,2026-07-09T10:08:09.212,1
45,2026-07-09T10:08:09.626,256
45,2026-07-09T10:08:10.069,1
45,2026-07-09T10:08:10.530,256
45,2026-07-09T10:08:11.060,1
45,2026-07-09T10:08:11.607,1
45,2026-07-09T10:08:12.065,1
45,2026-07-09T10:08:12.658,9
45,2026-07-09T10:08:13.301,1
45,2026-07-09T10:08:13.661,8
45,2026-07-09T10:08:14.107,1
45,2026-07-09T10:08:14.734,8
45,2026-07-09T10:08:15.133,1
45,2026-07-09T10:08:15.539,8
45,2026-07-09T10:08:16.114,2
45,2026-07-09T10:08:16.631,8
45,2026-07-09T10:08:17.138,1
45,2026-07-09T10:08:17.569,8
45,2026-07-09T10:08:18.181,2
45,2026-07-09T10:08:18.632,8
45,2026-07-09T10:08:19.173,1
45,2026-07-09T10:08:19.737,7
45,2026-07-09T10:08:20.183,1
45,2026-07-09T10:08:20.601,1
45,2026-07-09T10:08:21.081,1
45,2026-07-09T10:08:21.607,3
45,2026-07-09T10:08:22.092,1
45,2026-07-09T10:08:22.581,0
45,2026-07-09T10:08:23.045,0
45,2026-07-09T10:08:23.622,2
45,2026-07-09T10:08:24.184,0
45,2026-07-09T10:08:24.781,0
45,2026-07-09T10:08:25.118,0
45,2026-07-09T10:08:25.593,7
45,2026-07-09T10:08:25.982,1
45,2026-07-09T10:08:26.586,7
45,2026-07-09T10:08:27.108,1
45,2026-07-09T10:08:27.600,8
45,2026-07-09T10:08:28.089,1
45,2026-07-09T10:08:28.588,9
45,2026-07-09T10:08:29.112,1
45,2026-07-09T10:08:29.652,8
45,2026-07-09T10:08:30.136,2
45,2026-07-09T10:08:30.541,256
45,2026-07-09T10:08:31.197,1
45,2026-07-09T10:08:31.496,1
45,2026-07-09T10:08:32.129,3
45,2026-07-09T10:08:32.585,1
45,2026-07-09T10:08:33.055,0
45,2026-07-09T10:08:33.690,0
45,2026-07-09T10:08:34.135,0
45,2026-07-09T10:08:34.640,1
45,2026-07-09T10:08:35.061,0
45,2026-07-09T10:08:35.662,1
45,2026-07-09T10:08:36.056,0
45,2026-07-09T10:08:36.717,1
45,2026-07-09T10:08:37.102,7
45,2026-07-09T10:08:37.649,1
45,2026-07-09T10:08:38.064,8
45,2026-07-09T10:08:38.567,2
45,2026-07-09T10:08:39.140,195
45,2026-07-09T10:08:39.596,1
45,2026-07-09T10:08:40.139,3
45,2026-07-09T10:08:40.519,8
45,2026-07-09T10:08:41.136,2
45,2026-07-09T10:08:41.562,8
45,2026-07-09T10:08:42.149,1
45,2026-07-09T10:08:42.543,247
45,2026-07-09T10:08:43.079,1
45,2026-07-09T10:08:43.576,7
45,2026-07-09T10:08:44.031,2
45,2026-07-09T10:08:44.708,7
45,2026-07-09T10:08:45.172,1
45,2026-07-09T10:08:45.568,0
45,2026-07-09T10:08:46.089,2
45,2026-07-09T10:08:46.536,0
45,2026-07-09T10:08:47.107,3
45,2026-07-09T10:08:47.648,0
45,2026-07-09T10:08:48.020,0
45,2026-07-09T10:08:48.542,1
45,2026-07-09T10:08:49.126,8
45,2026-07-09T10:08:49.804,1
45,2026-07-09T10:08:50.384,8
45,2026-07-09T10:08:50.825,1
45,2026-07-09T10:08:51.173,9
45,2026-07-09T10:08:51.570,1
45,2026-07-09T10:08:52.121,9
45,2026-07-09T10:08:52.624,1
45,2026-07-09T10:08:53.134,1
45,2026-07-09T10:08:53.573,2
45,2026-07-09T10:08:54.129,0
45,2026-07-09T10:08:54.663,2
45,2026-07-09T10:08:55.206,0
45,2026-07-09T10:08:55.646,2
45,2026-07-09T10:08:56.058,1
45,2026-07-09T10:08:56.629,0
45,2026-07-09T10:08:57.119,1
45,2026-07-09T10:08:57.559,0
45,2026-07-09T10:08:58.120,1
45,2026-07-09T10:08:58.636,0
45,2026-07-09T10:08:59.025,1
45,2026-07-09T10:08:59.693,3
45,2026-07-09T10:09:00.177,1
45,2026-07-09T10:09:00.604,2
45,2026-07-09T10:09:01.093,9
45,2026-07-09T10:09:01.573,1
45,2026-07-09T10:09:02.151,7
45,2026-07-09T10:09:02.545,1
45,2026-07-09T10:09:03.114,0
45,2026-07-09T10:09:03.604,1
45,2026-07-09T10:09:04.167,2
45,2026-07-09T10:09:04.602,1
45,2026-07-09T10:09:05.149,2
45,2026-07-09T10:09:05.581,8
45,2026-07-09T10:09:06.118,1
45,2026-07-09T10:09:06.640,8
45,2026-07-09T10:09:07.132,1
45,2026-07-09T10:09:07.619,161
45,2026-07-09T10:09:08.166,2
45,2026-07-09T10:09:08.634,229
45,2026-07-09T10:09:09.102,2
45,2026-07-09T10:09:09.578,235
45,2026-07-09T10:09:10.136,0
45,2026-07-09T10:09:10.571,0
45,2026-07-09T10:09:11.139,0
45,2026-07-09T10:09:11.660,1
45,2026-07-09T10:09:12.182,2
45,2026-07-09T10:09:12.612,0
45,2026-07-09T10:09:13.097,2
45,2026-07-09T10:09:13.602,8
45,2026-07-09T10:09:14.074,1
45,2026-07-09T10:09:14.522,8
45,2026-07-09T10:09:15.147,1
45,2026-07-09T10:09:15.599,9
45,2026-07-09T10:09:16.095,2
45,2026-07-09T10:09:16.553,0
45,2026-07-09T10:09:17.061,1
45,2026-07-09T10:09:17.677,1
45,2026-07-09T10:09:18.086,7
45,2026-07-09T10:09:18.562,1
45,2026-07-09T10:09:19.138,2
45,2026-07-09T10:09:19.533,1
45,2026-07-09T10:09:20.189,8
45,2026-07-09T10:09:20.719,1
45,2026-07-09T10:09:21.215,1
45,2026-07-09T10:09:21.591,2
45,2026-07-09T10:09:22.175,0
45,2026-07-09T10:09:22.555,0
45,2026-07-09T10:09:23.110,1
45,2026-07-09T10:09:23.613,3
45,2026-07-09T10:09:24.079,1
45,2026-07-09T10:09:24.571,1
45,2026-07-09T10:09:25.091,8
45,2026-07-09T10:09:25.638,1
45,2026-07-09T10:09:26.032,7
45,2026-07-09T10:09:26.618,1
45,2026-07-09T10:09:27.098,0
45,2026-07-09T10:09:27.550,1
45,2026-07-09T10:09:28.135,2
45,2026-07-09T10:09:28.552,8
45,2026-07-09T10:09:29.005,1
45,2026-07-09T10:09:29.665,9
45,2026-07-09T10:09:30.166,2
45,2026-07-09T10:09:30.650,0
45,2026-07-09T10:09:31.109,0
45,2026-07-09T10:09:31.550,2
45,2026-07-09T10:09:32.104,8
45,2026-07-09T10:09:32.579,2
45,2026-07-09T10:09:33.183,224
45,2026-07-09T10:09:33.804,2
45,2026-07-09T10:09:34.225,0
45,2026-07-09T10:09:34.766,0
45,2026-07-09T10:09:35.478,1
45,2026-07-09T10:09:36.038,7
45,2026-07-09T10:09:36.395,2
45,2026-07-09T10:09:36.825,2
45,2026-07-09T10:09:37.204,0
90,2026-07-09T10:10:44.900,1
90,2026-07-09T10:10:46.064,1
90,2026-07-09T10:10:46.921,0
90,2026-07-09T10:10:48.114,1
90,2026-07-09T10:10:48.977,7
90,2026-07-09T10:10:50.233,7
90,2026-07-09T10:10:51.118,6
90,2026-07-09T10:10:52.407,6
90,2026-07-09T10:10:53.655,6
90,2026-07-09T10:10:54.310,6
90,2026-07-09T10:10:54.850,7
90,2026-07-09T10:10:55.258,0
90,2026-07-09T10:10:55.641,0
90,2026-07-09T10:10:56.186,0
90,2026-07-09T10:10:56.511,1
90,2026-07-09T10:10:56.992,1
90,2026-07-09T10:10:57.355,1
90,2026-07-09T10:10:57.819,1
90,2026-07-09T10:10:58.114,1
90,2026-07-09T10:10:58.588,251
90,2026-07-09T10:10:58.902,1
90,2026-07-09T10:10:59.406,7
90,2026-07-09T10:10:59.983,7
90,2026-07-09T10:11:00.372,7
90,2026-07-09T10:11:00.717,7
90,2026-07-09T10:11:01.157,137
90,2026-07-09T10:11:01.520,33
90,2026-07-09T10:11:01.848,0
90,2026-07-09T10:11:02.172,0
90,2026-07-09T10:11:02.625,0
90,2026-07-09T10:11:02.959,0
90,2026-07-09T10:11:03.399,0
90,2026-07-09T10:11:03.761,0
90,2026-07-09T10:11:04.128,1
90,2026-07-09T10:11:04.665,1
90,2026-07-09T10:11:05.051,1
90,2026-07-09T10:11:05.620,1
90,2026-07-09T10:11:05.999,1
90,2026-07-09T10:11:06.458,1
90,2026-07-09T10:11:06.789,1
90,2026-07-09T10:11:07.105,1
90,2026-07-09T10:11:07.579,154
90,2026-07-09T10:11:07.942,0
90,2026-07-09T10:11:08.433,0
90,2026-07-09T10:11:08.765,0
90,2026-07-09T10:11:09.231,0
90,2026-07-09T10:11:09.585,0
90,2026-07-09T10:11:09.980,0
90,2026-07-09T10:11:10.381,0
90,2026-07-09T10:11:10.736,1
90,2026-07-09T10:11:11.035,1
90,2026-07-09T10:11:11.195,1
90,2026-07-09T10:11:11.531,1
90,2026-07-09T10:11:11.866,1
90,2026-07-09T10:11:12.184,1
90,2026-07-09T10:11:12.511,1
90,2026-07-09T10:11:12.794,1
90,2026-07-09T10:11:13.111,1
90,2026-07-09T10:11:13.254,6
90,2026-07-09T10:11:13.697,1
90,2026-07-09T10:11:14.108,6
90,2026-07-09T10:11:14.634,6
90,2026-07-09T10:11:15.166,6
